data;
param n := 38; 
param m := 1; 
param M := 1048576; 
param alpha := 3.03897849462366; 
param T := 1660; 
param epsilon := 1660; 
param beta := 34; 
param txsize := 1488; 
param iosize := 364; 
param: 		size	value	:=
	1	148	434534
	2	148	977236
	3	148	926523
	4	148	616862
	5	148	122812
	6	148	246201
	7	148	857454
	8	148	255250
	9	148	123328
	10	148	123459
	11	148	371727
	12	148	1761537
	13	148	124021
	14	148	618963
	15	148	309274
	16	148	917722
	17	148	122121
	18	148	611848
	19	148	611701
	20	148	250511
	21	148	158744
	22	148	244614
	23	148	275298
	24	148	143634
	25	148	238932
	26	148	119677
	27	148	595429
	28	148	590189
	29	148	214748
	30	148	358672
	31	148	191391
	32	148	161084
	33	148	599466
	34	148	131463
	35	148	221916
	36	148	196218
	37	148	119803
	38	148	218803;
param: 		Size	Value	:=
	1	34	480725;
end;
