data;
param n := 38; 
param m := 5; 
param M := 1048576; 
param alpha := 43.9367311072056; 
param T := 23990; 
param epsilon := 23990; 
param beta := 34; 
param txsize := 2276; 
param iosize := 500; 
param: 		size	value	:=
	1	148	21614846
	2	148	1313171272
	3	148	1299539199
	4	148	7505521360
	5	148	106979164258
	6	148	566271674554
	7	148	1267
	8	148	666
	9	148	17715447424
	10	148	16743499706
	11	148	17442825639
	12	148	892601563
	13	148	99224996
	14	148	68834400
	15	148	714
	16	148	777
	17	148	2000
	18	148	2000
	19	148	6000
	20	148	2000
	21	148	2000
	22	148	1680
	23	148	711
	24	148	692
	25	148	713
	26	148	1000
	27	148	1000
	28	148	1124
	29	148	1000
	30	148	546
	31	148	1000
	32	148	1000
	33	148	1000
	34	148	1000
	35	148	546
	36	148	1153
	37	148	1000
	38	148	1000;
param: 		Size	Value	:=
	1	34	550000
	2	34	1234300
	3	34	6026482
	4	34	13474451
	5	34	13861686;
end;
