data;
param n := 17; 
param m := 1; 
param M := 1048576; 
param alpha := 20.3606158833063; 
param T := 11117; 
param epsilon := 11117; 
param beta := 34; 
param txsize := 2468; 
param iosize := 512; 
param: 		size	value	:=
	1	148	42350
	2	148	42125
	3	148	54950
	4	148	39175
	5	148	34700
	6	148	19350
	7	148	21701
	8	148	4540
	9	148	2608
	10	148	4000
	11	148	10859
	12	148	4339
	13	148	1322
	14	148	4450
	15	148	807
	16	148	858
	17	148	843;
param: 		Size	Value	:=
	1	34	50000;
end;
